ccid,r-time,r-time-decode,r-sts,r-val,r-spcl-val,gps-act,header,sim-operator,buffer,log-byte,driver_license_full,car_v,gsm_csq,gps-hdop,sattel,gps_speed,acc-on,ovr-spd,SOS-on,m-batt-low,m-batt-zro,turn-right,turn-left,crash-off,HA-off,HD-off,HC-off,gps-dist,lat,long,heading,imei,dvice-s/n,fw_ver,fuel-typ,fuel-lv,temper01,temper02
8966052503402466662F,2026-03-04 14:47:04,2026-03-04 14:47:05.905000,50,31,180567,A,7E,D,0,,,12030,31,0.0,17,0,1,0,0,0,0,0,0,1,1,1,1,21263.9,14.204816,100.66255,230,868291079125007,88011000999,Z4908RBH.2 (2025-07-16),0,0.0,0.0,0.0
8966052503402466662F,2026-03-04 14:46:49,2026-03-04 14:46:51.075000,50,31,180553,A,7E,D,0,,,12070,31,0.0,17,0,1,0,0,0,0,0,0,1,1,1,1,21263.9,14.204816,100.66255,230,868291079125007,88011000999,Z4908RBH.2 (2025-07-16),0,0.0,0.0,0.0
8966052503402466662F,2026-03-04 14:46:35,2026-03-04 14:46:37.042000,50,31,180538,A,7E,D,0,,,12030,31,0.0,16,0,1,0,0,0,0,0,0,1,1,1,1,21263.9,14.204816,100.66255,230,868291079125007,88011000999,Z4908RBH.2 (2025-07-16),0,0.0,0.0,0.0
8966052503402466662F,2026-03-04 14:46:21,2026-03-04 14:46:22.415000,50,31,180524,A,7E,D,0,,,12030,31,0.0,15,0,1,0,0,0,0,0,0,1,1,1,1,21263.9,14.204816,100.66255,230,868291079125007,88011000999,Z4908RBH.2 (2025-07-16),0,0.0,0.0,0.0
8966052503402466662F,2026-03-04 14:46:07,2026-03-04 14:46:09.479000,50,31,180511,A,7E,D,0,,,12030,31,0.0,17,0,1,0,0,0,0,0,0,1,1,1,1,21263.9,14.204816,100.66255,230,868291079125007,88011000999,Z4908RBH.2 (2025-07-16),0,0.0,0.0,0.0
8966052503402466662F,2026-03-04 14:45:52,2026-03-04 14:45:54.204000,50,31,180496,A,7E,D,0,,,12030,31,0.0,17,0,1,0,0,0,0,0,0,1,1,1,1,21263.9,14.204816,100.66255,230,868291079125007,88011000999,Z4908RBH.2 (2025-07-16),0,0.0,0.0,0.0
8966052503402466662F,2026-03-04 14:45:38,2026-03-04 14:45:39.541000,50,31,180481,A,7E,D,0,,,12030,31,0.0,17,0,1,0,0,0,0,0,0,1,1,1,1,21263.9,14.204816,100.66255,230,868291079125007,88011000999,Z4908RBH.2 (2025-07-16),0,0.0,0.0,0.0
8966052503402466662F,2026-03-04 14:45:10,2026-03-04 14:45:12.559000,50,31,180454,A,7E,D,0,,,12030,31,0.0,15,0,1,0,0,0,0,0,0,1,1,1,1,21263.9,14.204816,100.66255,230,868291079125007,88011000999,Z4908RBH.2 (2025-07-16),0,0.0,0.0,0.0
8966052503402466662F,2026-03-04 14:44:41,2026-03-04 14:44:42.851000,50,31,180424,A,7E,D,0,,,12030,31,0.0,16,0,1,0,0,0,0,0,0,1,1,1,1,21263.9,14.204816,100.66255,230,868291079125007,88011000999,Z4908RBH.2 (2025-07-16),0,0.0,0.0,0.0
8966052503402466662F,2026-03-04 14:44:27,2026-03-04 14:44:28.757000,50,31,180410,A,7E,D,0,,,12030,31,0.0,16,0,1,0,0,0,0,0,0,1,1,1,1,21263.9,14.204816,100.66255,230,868291079125007,88011000999,Z4908RBH.2 (2025-07-16),0,0.0,0.0,0.0
8966052503402466662F,2026-03-04 14:44:15,2026-03-04 14:44:18.007000,50,31,180399,A,undefined,D,0,,,12030,31,0.0,15,0,1,0,0,0,0,0,0,1,1,1,1,21263.9,14.204816,100.66255,230,868291079125007,88011000999,Z4908RBH.2 (2025-07-16),0,0.0,0.0,0.0
8966052503402466662F,2026-03-04 14:44:12,2026-03-04 14:44:17.729000,50,31,180396,A,undefined,D,0,,,12030,31,0.0,15,0,1,0,0,0,0,0,0,1,1,1,1,21263.9,14.204816,100.66255,230,868291079125007,88011000999,Z4908RBH.2 (2025-07-16),0,0.0,0.0,0.0
